SalesID,CustomerID,DrugID,Quantity,SaleDate
S118,C054,D004,424,3/23/2024
S119,C028,D036,434,11/25/2024
S120,C029,D003,493,6/12/2024
S121,C038,D024,142,1/10/2024
S122,C053,D004,148,4/6/2024
S123,C059,D024,451,5/7/2024
S124,C028,D024,64,10/15/2024
S125,C010,D016,92,9/28/2024
S126,C025,D011,177,8/17/2024
S127,C056,D029,246,8/15/2024
S128,C041,D013,364,5/2/2024
S129,C059,D026,269,7/18/2024
S130,C060,D009,370,5/8/2024
S131,C002,D019,211,8/27/2024
S132,C057,D028,138,11/11/2024
S133,C025,D021,490,2/15/2024
S134,C060,D004,85,10/30/2024
S135,C019,D002,118,5/27/2024
S136,C029,D034,198,2/19/2024
S137,C058,D033,181,7/30/2024
S138,C007,D032,76,9/11/2024
S139,C058,D030,376,9/8/2024
S140,C009,D027,280,8/17/2024
S141,C039,D022,212,5/21/2024
S142,C013,D013,296,5/15/2024
S143,C043,D010,188,1/23/2024
S144,C059,D023,329,9/8/2024
S145,C047,D004,175,9/23/2024
S146,C002,D014,77,6/23/2024
S147,C043,D018,409,10/26/2024
S148,C001,D010,365,2/17/2024
S149,C056,D022,101,3/3/2024
S150,C038,D011,375,8/4/2024
S151,C008,D006,260,5/11/2024
S152,C011,D002,335,2/21/2024
S153,C005,D028,141,11/16/2024
S154,C015,D003,124,10/15/2024
S155,C050,D027,97,3/12/2024
S156,C044,D034,247,5/7/2024
S157,C037,D004,61,12/17/2024
S158,C049,D013,167,6/4/2024
S159,C052,D024,141,3/26/2024
S160,C052,D006,366,9/7/2024
S161,C008,D001,113,2/20/2024
S162,C028,D031,294,6/23/2024
S163,C057,D010,155,12/9/2024
S164,C033,D002,113,8/2/2024
S165,C036,D007,184,5/7/2024
S166,C023,D010,83,9/3/2024
S167,C048,D032,301,11/12/2024
S168,C054,D034,152,3/10/2024
S169,C058,D002,154,9/2/2024
S170,C049,D014,426,12/2/2024
S171,C007,D010,199,12/10/2024
S172,C047,D009,147,5/11/2024
S173,C027,D004,183,12/22/2024
S174,C004,D028,484,6/2/2024
S175,C040,D035,148,5/3/2024
S176,C044,D026,168,10/11/2024
S177,C021,D034,399,6/7/2024
S178,C051,D008,310,11/2/2024
S179,C059,D030,378,11/10/2024
S180,C004,D001,167,2/20/2024
S181,C022,D020,414,5/8/2024
S182,C002,D023,71,10/27/2024
S183,C036,D029,418,4/4/2024
S184,C005,D019,265,9/22/2024
S185,C020,D001,52,8/5/2024
S186,C044,D028,134,4/16/2024
S187,C015,D038,329,3/30/2024
S188,C001,D019,461,10/15/2024
S189,C049,D013,344,6/13/2024
S190,C042,D008,435,4/24/2024
S191,C035,D015,199,9/26/2024
S192,C035,D029,398,4/23/2024
S193,C030,D002,260,10/3/2024
S194,C054,D029,480,10/18/2024
S195,C030,D011,317,1/24/2024
S196,C034,D016,318,6/6/2024
S197,C015,D026,491,1/10/2024
S198,C001,D026,319,8/15/2024
S199,C043,D007,346,12/3/2024
S200,C049,D005,364,6/27/2024
S201,C044,D014,463,10/22/2024
S202,C024,D030,356,8/16/2024
S203,C013,D024,181,5/5/2024
S204,C011,D005,258,7/13/2024
S205,C060,D018,443,8/13/2024
S206,C024,D030,124,5/3/2024
S207,C057,D035,295,12/13/2024
S208,C046,D033,360,5/9/2024
S209,C051,D023,420,3/13/2024
S210,C002,D004,241,9/13/2024
S211,C047,D006,455,6/7/2024
S212,C027,D026,205,9/6/2024
S213,C025,D021,163,1/25/2024
S214,C060,D036,101,4/14/2024
S215,C047,D013,413,1/6/2024
S216,C051,D025,450,10/30/2024
S217,C045,D021,328,6/15/2024
S218,C041,D022,334,7/20/2024
S219,C011,D016,488,10/25/2024
S220,C019,D020,121,9/19/2024
S221,C054,D029,100,4/18/2024
S222,C047,D017,337,8/31/2024
S223,C034,D022,361,9/3/2024
S224,C022,D011,334,2/13/2024
S225,C042,D001,287,3/6/2024
S226,C035,D023,231,3/28/2024
S227,C024,D023,342,2/17/2024
S228,C041,D003,97,5/22/2024
S229,C056,D015,92,5/11/2024
S230,C030,D027,497,12/9/2024
S231,C020,D022,260,12/29/2024
S232,C024,D013,469,10/28/2024
S233,C047,D009,431,8/7/2024
S234,C003,D004,229,4/8/2024
S235,C038,D004,360,12/23/2024
S236,C047,D007,360,12/3/2024
S237,C052,D031,102,7/1/2024
S238,C027,D037,64,8/5/2024
S239,C018,D004,422,1/8/2024
S240,C052,D008,308,3/26/2024
S241,C003,D013,284,1/12/2024
S242,C015,D030,211,10/26/2024
S243,C010,D039,244,1/12/2024
S244,C038,D011,302,7/28/2024
S245,C009,D006,120,3/6/2024
S246,C015,D019,146,12/22/2024
S247,C051,D020,467,4/24/2024
S248,C017,D012,398,2/5/2024
S249,C052,D019,415,9/16/2024
S250,C026,D003,437,5/16/2024
S251,C027,D024,236,8/1/2024
S252,C032,D002,298,2/27/2024
S253,C055,D008,248,11/3/2024
S254,C044,D033,161,6/13/2024
S255,C058,D008,137,11/10/2024
S256,C041,D011,65,3/4/2024
S257,C052,D026,316,8/23/2024
S258,C039,D034,302,2/24/2024
S259,C004,D033,436,11/6/2024
S260,C054,D026,181,8/20/2024
S261,C005,D028,330,12/8/2024
S262,C012,D034,490,5/1/2024
S263,C040,D019,300,2/7/2024
S264,C037,D009,85,2/21/2024
S265,C014,D015,87,10/17/2024
S266,C003,D003,170,10/10/2024
S267,C031,D030,110,4/26/2024
S268,C059,D030,357,12/29/2024
S269,C056,D021,327,8/27/2024
S270,C053,D009,491,6/6/2024
S271,C020,D009,437,12/22/2024
S272,C049,D032,186,12/28/2024
S273,C013,D001,475,5/15/2024
S274,C015,D012,184,2/2/2024
S275,C008,D038,462,5/15/2024
S276,C046,D001,364,12/14/2024
S277,C047,D021,100,3/23/2024
S278,C051,D014,182,9/12/2024
S279,C048,D029,250,9/22/2024
S280,C039,D008,275,10/23/2024
S281,C048,D031,120,4/8/2024
S282,C012,D014,423,2/3/2024
S283,C008,D020,423,9/6/2024
S284,C005,D019,376,4/1/2024
S285,C027,D039,499,2/27/2024
S286,C049,D027,426,3/2/2024
S287,C039,D034,357,11/3/2024
S288,C058,D019,147,11/24/2024
S289,C041,D014,106,1/20/2024
S290,C034,D020,305,9/13/2024
S291,C037,D032,225,1/8/2024
S292,C042,D028,260,12/7/2024
S293,C043,D018,361,12/22/2024
S294,C021,D017,259,6/27/2024
S295,C022,D018,446,6/13/2024
S296,C058,D029,378,10/15/2024
S297,C060,D036,416,6/6/2024
S298,C054,D030,382,2/6/2024
S299,C023,D007,383,7/29/2024
S300,C039,D035,93,9/6/2024
S301,C004,D011,90,11/24/2024
S302,C051,D006,428,4/21/2024
S303,C019,D024,489,3/30/2024
S304,C059,D009,328,7/18/2024
S305,C050,D032,453,11/22/2024
S306,C016,D018,484,1/2/2024
S307,C022,D013,136,5/8/2024
S308,C041,D015,331,8/3/2024
S309,C018,D012,200,10/13/2024
S310,C020,D037,464,3/20/2024
S311,C013,D024,481,9/16/2024
S312,C044,D036,481,3/21/2024
S313,C002,D002,62,6/25/2024
S314,C032,D030,53,2/28/2024
S315,C008,D012,428,9/12/2024
S316,C004,D027,54,4/24/2024
S317,C035,D005,316,1/2/2024
S318,C024,D016,467,2/16/2024
S319,C021,D034,498,6/23/2024
S320,C023,D023,472,11/23/2024
S321,C036,D032,257,10/27/2024
S322,C060,D007,88,1/10/2024
S323,C055,D009,431,4/19/2024
S324,C050,D032,260,1/23/2024
S325,C055,D027,444,5/4/2024
S326,C023,D002,355,3/16/2024
S327,C047,D024,488,9/30/2024
S328,C020,D004,67,9/28/2024
S329,C036,D028,304,8/16/2024
S330,C023,D022,298,10/5/2024
S331,C051,D040,235,7/20/2024
S332,C021,D038,155,11/3/2024
S333,C024,D037,130,1/29/2024
S334,C022,D022,465,6/17/2024
S335,C007,D034,259,3/31/2024
S336,C013,D012,65,12/28/2024
S337,C055,D031,361,4/6/2024
S338,C003,D001,483,11/22/2024
S339,C010,D010,200,9/3/2024
S340,C005,D009,342,8/3/2024
S341,C024,D017,265,6/12/2024
S342,C058,D038,361,5/9/2024
S343,C024,D038,262,2/15/2024
S344,C005,D018,244,4/4/2024
S345,C040,D009,397,7/15/2024
S346,C035,D009,277,5/15/2024
S347,C013,D015,201,12/23/2024
S348,C054,D019,180,4/26/2024
S349,C045,D023,445,9/6/2024
S350,C023,D033,76,12/3/2024
S351,C002,D013,214,8/7/2024
S352,C008,D013,233,5/29/2024
S353,C015,D036,450,8/27/2024
S354,C032,D039,140,5/18/2024
S355,C046,D017,57,10/5/2024
S356,C059,D022,357,3/31/2024
S357,C049,D021,496,3/9/2024
S358,C027,D039,250,6/17/2024
S359,C019,D033,446,9/14/2024
S360,C028,D020,209,12/22/2024
S361,C036,D018,429,3/15/2024
S362,C027,D029,405,11/29/2024
S363,C025,D002,347,7/9/2024
S364,C048,D012,326,7/7/2024
S365,C019,D036,287,9/11/2024
S366,C019,D028,301,1/8/2024
S367,C050,D005,455,11/21/2024
S368,C053,D018,210,1/20/2024
S369,C016,D005,350,7/17/2024
S370,C054,D038,366,9/13/2024
S371,C058,D014,357,10/19/2024
S372,C039,D015,381,8/21/2024
S373,C053,D020,267,11/6/2024
S374,C025,D037,101,8/18/2024
S375,C009,D039,99,10/18/2024
S376,C020,D006,135,4/17/2024
S377,C020,D023,350,5/3/2024
S378,C012,D024,405,12/18/2024
S379,C021,D013,274,11/2/2024
S380,C004,D007,448,7/2/2024
S381,C021,D010,108,7/9/2024
S382,C014,D029,409,5/20/2024
S383,C044,D016,485,6/2/2024
S384,C006,D028,50,8/7/2024
S385,C023,D004,333,5/3/2024
S386,C009,D029,84,3/25/2024
S387,C019,D003,451,10/27/2024
S388,C052,D039,236,8/16/2024
S389,C055,D038,481,12/2/2024
S390,C050,D019,167,4/6/2024
S391,C047,D003,53,4/8/2024
S392,C031,D014,329,8/6/2024
S393,C039,D025,188,12/2/2024
S394,C033,D034,428,10/25/2024
S395,C012,D018,254,9/10/2024
S396,C002,D018,410,8/9/2024
S397,C040,D020,254,11/18/2024
S398,C046,D017,152,6/18/2024
S399,C043,D008,170,9/1/2024
S400,C002,D034,179,1/27/2024
S401,C031,D015,235,6/2/2024
S402,C051,D033,447,4/13/2024
S403,C040,D015,400,3/30/2024
S404,C019,D020,198,10/15/2024
S405,C040,D031,112,2/2/2024
S406,C009,D035,292,4/18/2024
S407,C012,D023,341,4/29/2024
S408,C033,D006,444,3/26/2024
S409,C028,D026,120,1/8/2024
S410,C059,D025,493,7/28/2024
S411,C038,D014,435,12/17/2024
S412,C038,D036,282,4/27/2024
S413,C012,D010,484,10/3/2024
S414,C017,D030,418,9/1/2024
S415,C054,D036,178,9/28/2024
S416,C057,D036,330,7/31/2024
S417,C051,D027,51,2/2/2024
S418,C011,D032,114,2/19/2024
S419,C026,D010,224,7/4/2024
S420,C047,D009,283,10/4/2024
S421,C002,D022,83,8/25/2024
S422,C026,D015,208,5/14/2024
S423,C028,D039,267,3/27/2024
S424,C033,D006,294,2/12/2024
S425,C031,D035,324,11/25/2024
S426,C034,D008,319,10/17/2024
S427,C050,D006,423,7/13/2024
S428,C049,D036,125,5/28/2024
S429,C023,D024,191,5/30/2024
S430,C006,D020,394,3/2/2024
S431,C014,D003,415,8/6/2024
S432,C011,D027,334,5/3/2024
S433,C004,D038,494,11/19/2024
S434,C032,D018,97,2/2/2024
S435,C039,D008,131,10/21/2024
S436,C043,D005,389,10/23/2024
S437,C019,D022,217,10/15/2024
S438,C058,D040,213,12/12/2024
S439,C023,D024,53,6/14/2024
S440,C015,D035,332,7/13/2024
S441,C016,D021,206,1/10/2024
S442,C020,D026,365,8/13/2024
S443,C021,D028,357,7/30/2024
S444,C005,D012,59,11/3/2024
S445,C018,D019,366,10/2/2024
S446,C007,D028,385,3/10/2024
S447,C016,D031,328,6/1/2024
S448,C047,D005,297,3/23/2024
S449,C047,D038,362,7/6/2024
S450,C040,D020,107,5/28/2024
S451,C024,D036,292,9/15/2024
S452,C040,D024,456,9/21/2024
S453,C034,D010,66,1/1/2024
S454,C046,D003,140,7/4/2024
S455,C057,D006,375,1/4/2024
S456,C027,D011,386,5/9/2024
S457,C051,D015,213,6/9/2024
S458,C046,D023,86,4/26/2024
S459,C052,D026,164,6/19/2024
S460,C037,D033,172,3/15/2024
S461,C048,D033,117,9/5/2024
S462,C043,D025,254,7/4/2024
S463,C043,D011,477,7/24/2024
S464,C032,D002,103,2/7/2024
S465,C006,D023,128,10/11/2024
S466,C050,D039,422,2/4/2024
S467,C037,D035,390,7/5/2024
S468,C045,D006,105,2/10/2024
S469,C001,D031,387,2/10/2024
S470,C008,D031,301,8/27/2024
S471,C039,D002,484,9/14/2024
S472,C029,D010,413,2/3/2024
S473,C021,D029,202,5/29/2024
S474,C031,D038,144,1/30/2024
S475,C056,D032,289,8/11/2024
S476,C048,D005,354,12/31/2024
S477,C020,D004,254,11/23/2024
S478,C021,D018,89,12/2/2024
S479,C023,D012,233,5/2/2024
S480,C006,D004,448,11/9/2024
S481,C060,D010,142,1/18/2024
S482,C059,D006,229,7/19/2024
S483,C037,D024,498,5/25/2024
S484,C022,D012,415,3/11/2024
S485,C018,D017,285,5/11/2024
S486,C053,D026,479,2/26/2024
S487,C050,D013,192,3/27/2024
S488,C003,D009,183,2/9/2024
S489,C048,D011,77,3/24/2024
S490,C027,D037,51,1/11/2024
S491,C006,D020,197,11/18/2024
S492,C013,D013,336,5/17/2024
S493,C031,D011,381,4/23/2024
S494,C022,D033,144,10/7/2024
S495,C014,D013,443,11/21/2024
S496,C052,D015,251,4/2/2024
S497,C019,D020,424,11/1/2024
S498,C006,D034,307,2/8/2024
S499,C043,D018,295,1/9/2024
S500,C028,D001,213,1/17/2024
